,Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code,Claim
8220,H0,2013,0.350684932,0,Not Painted,Not Fenced,Has garden,urban area,384,2,1980,   ,26362,0.0
7875,H10000,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,580,2,1960,   ,13205,0.0
7669,H10001,2013,1.0,0,Not Painted,Fenced,no garden,rural area,852,1,1994,3,13004,0.0
8012,H10002,2013,1.0,0,Not Painted,Fenced,no garden,rural area,380,2,1960,3,13208,0.0
8013,H10003,2015,1.0,0,Not Painted,Fenced,no garden,rural area,380,2,1960,3,13208,0.0
9349,H10009,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1717,4,0,   ,75103,0.0
8270,H1001,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,990,2,0,   ,30189,0.0
7726,H10010,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,760,2,1960,   ,13201,0.0
8745,H10011,2014,0.495890411,0,Not Painted,Not Fenced,Has garden,urban area,1515,2,1980,   ,57038,0.0
8208,H10012,2012,1.0,0,Not Painted,Fenced,no garden,rural area,1090,2,1960,5,26220,0.0
9120,H10013,2013,0.747945205,0,Not Painted,Not Fenced,Has garden,urban area,2961,2,1980,   ,66171,0.0
7814,H10015,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,528,2,1960,   ,13204,0.0
7697,H10016,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1040,1,1960,   ,13056,0.0
7325,H10019,2014,1.0,0,Not Painted,Fenced,no garden,rural area,7000,4,1970,6,6079,0.0
9033,H10022,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1687,2,1960,   ,64024,0.0
9034,H10023,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,1687,2,1960,   ,64024,0.0
7815,H10025,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,600,2,1960,   ,13204,0.0
10129,H10026,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,550,3,0,   ,2B033,0.0
9173,H10027,2015,1.0,0,Not Painted,Fenced,no garden,rural area,2500,2,1970,9,68297,0.0
7645,H10028,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1450,2,1960,   ,13001,0.0
7646,H10029,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,1450,2,1960,   ,13001,0.0
8014,H10030,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,800,2,0,   ,13208,0.0
9858,H10031,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,920,2,1960,   ,90010,0.0
9859,H10032,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,920,2,1960,   ,90010,0.0
9121,H10033,2016,0.99726776,0,Not Painted,Fenced,no garden,rural area,3207,2,1982,3,66171,0.0
8977,H10034,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,566,2,1960,   ,63113,0.0
8978,H10035,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,566,2,1960,   ,63113,0.0
9633,H10036,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1350,2,0,   ,83061,0.0
9122,H10037,2013,1.0,0,Not Painted,Fenced,no garden,rural area,2180,2,1960,4,66171,0.0
8395,H10039,2012,1.0,0,Not Painted,Fenced,no garden,rural area,3400,2,1950,3,34172,0.0
9334,H10041,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,406,1,0,   ,74281,0.0
9335,H10042,2014,0.794520548,0,Not Painted,Not Fenced,Has garden,urban area,406,1,0,   ,74281,0.0
8970,H10044,2012,1.0,0,Not Painted,Fenced,no garden,rural area,1600,1,2000,5,63075,0.0
8700,H10047,2013,0.939726027,0,Not Painted,Not Fenced,Has garden,urban area,1121,1,1960,   ,54263,0.0
8119,H1005,2013,0.084931507,0,Not Painted,Fenced,no garden,rural area,404,2,1975,3,14384,0.0
8407,H10051,2013,1.0,0,Not Painted,Fenced,no garden,rural area,400,2,1890,4,34301,0.0
7925,H10052,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,960,2,0,   ,13206,0.0
9860,H10053,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,770,2,1960,   ,90010,0.0
8044,H10054,2013,1.0,0,Not Painted,Fenced,no garden,rural area,370,2,1960,3,13209,0.0
8045,H10055,2014,1.0,0,Not Painted,Fenced,no garden,rural area,370,2,1960,3,13209,0.0
8097,H10056,2012,0.12568306,0,Not Painted,Not Fenced,Has garden,urban area,650,2,1960,   ,13215,0.0
9499,H10057,2012,1.0,0,Not Painted,Fenced,no garden,rural area,300,2,1970,3,76259,0.0
9500,H10058,2016,1.0,0,Not Painted,Fenced,no garden,rural area,300,2,1970,3,76259,0.0
7876,H10059,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1150,2,1960,   ,13205,0.0
9780,H10062,2016,1.0,0,Not Painted,Not Fenced,Has garden,urban area,924,1,1988,   ,84138,0.0
7720,H10063,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,3060,1,1980,   ,13104,0.0
7319,H10064,2012,1.0,0,Not Painted,Fenced,no garden,rural area,8855,4,1973,9,6069,0.0
9712,H10065,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,764,2,1980,   ,83129,0.0
9713,H10066,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,764,2,1980,   ,83129,0.0
9165,H10067,2014,1.0,0,Not Painted,Fenced,no garden,rural area,935,2,1945,3,68224,0.0
9123,H10069,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,1500,2,0,   ,66171,0.0
9134,H10073,2012,1.0,0,Not Painted,Fenced,no garden,rural area,1450,2,1975,4,67180,0.0
9135,H10074,2013,1.0,0,Not Painted,Fenced,no garden,rural area,1450,2,1975,4,67180,0.0
9136,H10075,2014,1.0,0,Not Painted,Fenced,no garden,rural area,1450,2,1975,4,67180,0.0
9852,H10077,2013,1.0,1,Not Painted,Fenced,no garden,rural area,920,1,1900,3,88321,0.0
7647,H10079,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,3300,2,1960,   ,13001,0.0
8746,H1008,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,882,2,1960,   ,57038,0.0
7816,H10080,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1100,2,1960,   ,13204,0.0
7817,H10081,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1100,2,1960,   ,13204,0.0
8015,H10082,2012,1.0,1,Not Painted,Fenced,no garden,rural area,670,2,1920,3,13208,0.0
9585,H10085,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,869,2,0,   ,80021,0.0
7727,H10089,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1100,2,1960,   ,13201,0.0
8747,H1009,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,882,2,1960,   ,57038,0.0
7698,H10092,2016,0.99726776,1,Not Painted,Fenced,no garden,rural area,650,1,1945,4,13056,0.0
8590,H10094,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,900,1,1980,   ,42187,0.0
10076,H10095,2013,1.0,0,Not Painted,Fenced,no garden,rural area,1600,3,1965,6,2A004,0.0
7687,H10096,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,400,1,1988,   ,13032,0.0
7688,H10097,2013,0.704109589,0,Not Painted,Not Fenced,Has garden,urban area,400,1,1988,   ,13032,0.0
7689,H10098,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,350,1,1960,   ,13032,0.0
7728,H10099,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1200,2,1960,   ,13201,0.0
8671,H1010,2012,1.0,0,Painted,Not Fenced,Has garden,urban area,1102,1,1960,   ,50147,0.0
7327,H10101,2013,0.747945205,0,Not Painted,Fenced,no garden,rural area,240,4,1922,3,6083,0.0
10077,H10102,2012,1.0,0,Not Painted,Fenced,no garden,rural area,2000,3,1920,6,2A004,0.0
7877,H10104,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1650,2,1960,   ,13205,0.0
7729,H10105,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,840,2,1980,   ,13201,0.0
7648,H10107,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,500,2,0,   ,13001,0.0
9095,H10109,2012,1.0,0,Not Painted,Fenced,no garden,rural area,375,2,1930,3,66136,0.0
7878,H10111,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,450,2,0,   ,13205,0.0
7879,H10112,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,450,2,0,   ,13205,0.0
9645,H10115,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2880,2,0,   ,83062,0.0
9719,H10116,2013,1.0,0,Not Painted,Fenced,no garden,rural area,882,2,1950,5,83137,0.0
7252,H10118,2012,1.0,1,Not Painted,Not Fenced,Has garden,urban area,3750,4,1980,   ,6029,0.0
8016,H10119,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,160,2,1960,   ,13208,0.0
9261,H1012,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,1800,1,0,   ,74042,0.0
8017,H10120,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,160,2,1960,   ,13208,0.0
7777,H10121,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,250,2,0,   ,13202,0.0
9634,H10122,2013,0.0,0,Not Painted,Not Fenced,Has garden,urban area,1769,2,1988,   ,83061,0.0
8018,H10123,2015,0.747945205,0,Not Painted,Not Fenced,Has garden,urban area,3500,2,1960,   ,13208,0.0
7730,H10125,2016,0.99726776,0,Not Painted,Not Fenced,Has garden,urban area,1750,2,1960,   ,13201,0.0
7926,H10126,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1100,2,1960,   ,13206,0.0
7927,H10127,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1100,2,1960,   ,13206,0.0
7928,H10128,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1100,2,1960,   ,13206,0.0
7929,H10129,2016,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1100,2,1960,   ,13206,0.0
7930,H10130,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,600,2,1960,   ,13206,0.0
7670,H10131,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1220,1,1980,   ,13004,0.0
7931,H10132,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,460,2,0,   ,13206,0.0
7932,H10133,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,618,2,1960,   ,13206,0.0
7933,H10134,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,618,2,1960,   ,13206,0.0
7880,H10135,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,510,2,1960,   ,13205,0.0
7881,H10136,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,510,2,1960,   ,13205,0.0
7731,H10137,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,435,2,1960,   ,13201,0.0
7732,H10138,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,435,2,1960,   ,13201,0.0
7733,H10139,2016,0.038251366,0,Not Painted,Not Fenced,Has garden,urban area,435,2,1960,   ,13201,0.0
7882,H10141,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,460,2,0,   ,13205,0.0
7883,H10142,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,450,2,0,   ,13205,0.0
7884,H10143,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,450,2,0,   ,13205,0.0
9501,H10145,2015,1.0,0,Not Painted,Fenced,no garden,rural area,336,2,1950,1,76259,0.0
7721,H10146,2014,1.0,0,Not Painted,Fenced,no garden,rural area,350,1,1970,3,13104,0.0
9181,H10147,2014,1.0,0,Not Painted,Not Fenced,Has garden,urban area,400,2,1960,   ,69034,0.0
9888,H10148,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,3900,2,1988,   ,90032,0.0
7167,H1015,2013,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1400,2,1980,   ,4088,0.0
9268,H10151,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1500,1,1988,   ,74056,0.0
7649,H10155,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1300,2,0,   ,13001,0.0
9861,H10156,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1100,2,1980,   ,90010,0.0
9694,H10157,2013,0.367123288,0,Not Painted,Not Fenced,Has garden,urban area,3083,2,1980,   ,83123,0.0
8979,H10159,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,2205,2,1960,   ,63113,0.0
