,Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code,Claim
0,H0,2013,0.350684932,0,0,0,1,1,384,2,1980,   ,26362,0.0
1,H10000,2013,1.0,0,0,0,1,1,580,2,1960,   ,13205,0.0
2,H10001,2013,1.0,0,0,1,0,0,852,1,1994,3,13004,0.0
3,H10002,2013,1.0,0,0,1,0,0,380,2,1960,3,13208,0.0
4,H10003,2015,1.0,0,0,1,0,0,380,2,1960,3,13208,0.0
5,H10009,2015,1.0,0,0,0,1,1,1717,4,0,   ,75103,0.0
6,H1001,2013,1.0,0,0,0,1,1,990,2,0,   ,30189,0.0
7,H10010,2014,1.0,0,0,0,1,1,760,2,1960,   ,13201,0.0
8,H10011,2014,0.495890411,0,0,0,1,1,1515,2,1980,   ,57038,0.0
9,H10012,2012,1.0,0,0,1,0,0,1090,2,1960,5,26220,0.0
10,H10013,2013,0.747945205,0,0,0,1,1,2961,2,1980,   ,66171,0.0
11,H10015,2012,1.0,0,0,0,1,1,528,2,1960,   ,13204,0.0
12,H10016,2014,1.0,0,0,0,1,1,1040,1,1960,   ,13056,0.0
13,H10019,2014,1.0,0,0,1,0,0,7000,4,1970,6,6079,0.0
14,H10022,2013,1.0,0,0,0,1,1,1687,2,1960,   ,64024,0.0
15,H10023,2016,0.99726776,0,0,0,1,1,1687,2,1960,   ,64024,0.0
16,H10025,2013,1.0,0,0,0,1,1,600,2,1960,   ,13204,0.0
17,H10026,2015,1.0,0,0,0,1,1,550,3,0,   ,2B033,0.0
18,H10027,2015,1.0,0,0,1,0,0,2500,2,1970,9,68297,0.0
19,H10028,2014,1.0,0,0,0,1,1,1450,2,1960,   ,13001,0.0
20,H10029,2016,0.99726776,0,0,0,1,1,1450,2,1960,   ,13001,0.0
21,H10030,2012,1.0,0,0,0,1,1,800,2,0,   ,13208,0.0
22,H10031,2012,1.0,0,0,0,1,1,920,2,1960,   ,90010,0.0
23,H10032,2014,1.0,0,0,0,1,1,920,2,1960,   ,90010,0.0
24,H10033,2016,0.99726776,0,0,1,0,0,3207,2,1982,3,66171,0.0
25,H10034,2013,1.0,0,0,0,1,1,566,2,1960,   ,63113,0.0
26,H10035,2014,1.0,0,0,0,1,1,566,2,1960,   ,63113,0.0
27,H10036,2013,1.0,0,0,0,1,1,1350,2,0,   ,83061,0.0
28,H10037,2013,1.0,0,0,1,0,0,2180,2,1960,4,66171,0.0
29,H10039,2012,1.0,0,0,1,0,0,3400,2,1950,3,34172,0.0
30,H10041,2013,1.0,0,0,0,1,1,406,1,0,   ,74281,0.0
31,H10042,2014,0.794520548,0,0,0,1,1,406,1,0,   ,74281,0.0
32,H10044,2012,1.0,0,0,1,0,0,1600,1,2000,5,63075,0.0
33,H10047,2013,0.939726027,0,0,0,1,1,1121,1,1960,   ,54263,0.0
34,H1005,2013,0.084931507,0,0,1,0,0,404,2,1975,3,14384,0.0
35,H10051,2013,1.0,0,0,1,0,0,400,2,1890,4,34301,0.0
36,H10052,2013,1.0,0,0,0,1,1,960,2,0,   ,13206,0.0
37,H10053,2015,1.0,0,0,0,1,1,770,2,1960,   ,90010,0.0
38,H10054,2013,1.0,0,0,1,0,0,370,2,1960,3,13209,0.0
39,H10055,2014,1.0,0,0,1,0,0,370,2,1960,3,13209,0.0
40,H10056,2012,0.12568306,0,0,0,1,1,650,2,1960,   ,13215,0.0
41,H10057,2012,1.0,0,0,1,0,0,300,2,1970,3,76259,0.0
42,H10058,2016,1.0,0,0,1,0,0,300,2,1970,3,76259,0.0
43,H10059,2012,1.0,0,0,0,1,1,1150,2,1960,   ,13205,0.0
44,H10062,2016,1.0,0,0,0,1,1,924,1,1988,   ,84138,0.0
45,H10063,2015,1.0,0,0,0,1,1,3060,1,1980,   ,13104,0.0
46,H10064,2012,1.0,0,0,1,0,0,8855,4,1973,9,6069,0.0
47,H10065,2012,1.0,0,0,0,1,1,764,2,1980,   ,83129,0.0
48,H10066,2015,1.0,0,0,0,1,1,764,2,1980,   ,83129,0.0
49,H10067,2014,1.0,0,0,1,0,0,935,2,1945,3,68224,0.0
