Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code,Claim
H14663,2013,1,0,N,V,V,U,290,1,1960,   .,1053,0
H2037,2015,1,0,V,N,O,R,490,1,1850,4,1053,0
H3802,2014,1,0,N,V,V,U,595,1,1960,   .,1053,0
H3834,2013,1,0,V,V,V,U,2840,1,1960,   .,1053,0
H5053,2014,1,0,V,N,O,R,680,1,1800,3,1053,0
H4977,2012,1,0,V,N,O,R,535,1,1980,3,1143,0
H7390,2012,1,0,N,V,V,U,2830,1,1988,   .,1143,0
H14488,2015,1,0,N,V,V,U,4952,1,1988,   .,1160,0
H19355,2014,1,0,V,N,O,R,2735,1,2013,3,1173,1
H18601,2015,1,0,V,N,O,R,520,1,2011,2,1224,0
H18177,2013,0.24109589,0,V,N,O,R,550,1,1960,3,1283,0
H356,2013,1,0,V,V,V,U,910,1,1960,   .,1283,0
H15676,2013,1,0,V,N,O,R,842,1,1550,4,1305,0
H19442,2014,0.843835616,0,V,N,O,R,300,1,1900,2,1305,0
H14635,2012,1,0,N,V,V,U,560,1,1960,   .,1363,0
H13053,2012,1,0,V,N,O,R,3326,1,2007,4,1419,1
H14330,2014,1,0,N,V,V,U,3990,1,1988,   .,1419,1
H14331,2015,1,0,N,V,V,U,3990,1,1988,   .,1419,0
H19461,2015,1,0,V,N,O,R,2444,1,1970,5,2059,0
H19462,2016,1,0,V,N,O,R,2444,1,1970,5,2059,0
H17764,2016,0.956284153,0,V,N,O,R,1626,1,1950,2,2173,0
H16563,2016,0.99726776,0,V,N,O,R,2400,1,1700,3,2408,0
H2103,2012,1,0,V,N,O,R,250,1,1900,4,2408,0
H4421,2012,1,1,V,N,O,R,2300,1,1970,4,2722,1
H4438,2016,0.99726776,0,N,V,V,U,600,1,1980,   .,3095,0
H15578,2012,1,0,V,N,O,R,5439,1,1976,>=10,3190,0
H15579,2014,1,0,V,N,O,R,5439,1,1976,>=10,3190,1
H7015,2014,1,0,V,N,O,R,1100,1,1900,4,3190,0
H16003,2016,1,0,V,N,O,R,1200,1,1940,5,3310,0
H18009,2012,1,0,V,N,O,R,552,1,1950,5,3310,0
H19316,2014,1,0,V,N,O,R,900,1,1920,5,3310,0
H12704,2013,1,0,V,N,O,R,370,2,1982,3,4070,1
H16016,2016,1,0,V,N,O,R,1400,2,1960,3,4070,0
H13026,2016,0.99726776,1,N,V,V,U,1000,2,1960,   .,4073,0
H16387,2012,1,0,V,N,O,R,480,2,1800,4,4088,0
H13678,2014,0.084931507,0,V,N,O,R,1300,2,1970,3,4094,0
H3587,2014,1,0,V,N,O,R,2900,2,1980,4,4094,1
H14189,2014,1,0,N,V,V,U,1300,2,1988,   .,4112,0
H14499,2013,1,0,N,V,V,U,1300,2,1988,   .,4112,0
H14500,2015,1,0,N,V,V,U,1300,2,1988,   .,4112,0
H4286,2012,1,0,N,V,V,U,1592,2,1980,   .,4126,0
H4287,2013,1,0,N,V,V,U,1592,2,1980,   .,4126,0
H15998,2014,1,0,V,N,O,R,450,2,1980,4,4166,0
H3780,2016,1,0,N,V,V,U,480,2,,   .,4176,0
H16404,2015,1,1,V,N,O,R,487,2,1980,3,4197,0
H15609,2015,1,0,V,N,O,R,1550,1,1972,4,5004,1
H15610,2016,0.99726776,0,V,N,O,R,1550,1,1972,4,5004,0
H17251,2014,1,1,V,N,O,R,650,1,2010,2,5004,1
H17252,2015,1,1,V,N,O,R,650,1,2010,2,5004,0
H13147,2014,1,0,V,N,O,R,2600,1,1971,6,5023,1
H13148,2013,1,0,N,V,V,U,1314,1,1988,   .,5023,1
H3595,2013,1,0,V,V,V,U,2960,1,1988,   .,5023,0
H3596,2015,1,0,V,V,V,U,2960,1,1988,   .,5023,0
H3649,2015,1,0,V,V,V,U,1386,1,1988,   .,5023,0
H3695,2012,1,0,V,V,V,U,1100,1,1988,   .,5023,0
H3696,2013,1,0,V,V,V,U,1100,1,1988,   .,5023,1
H3792,2014,1,0,V,N,O,R,680,1,1995,3,5023,0
H3850,2015,0.857534247,0,V,V,V,U,3325,1,1988,   .,5023,0
H4018,2013,1,0,V,V,V,U,1254,1,1960,   .,5023,1
H4101,2012,1,0,V,V,V,U,1000,1,1988,   .,5023,0
H4651,2015,1,0,V,V,V,U,1842,1,1988,   .,5023,0
H3481,2015,0.295890411,0,V,V,V,U,300,1,1980,   .,5026,0
H6729,2013,1,0,V,V,V,U,1113,1,1988,   .,5026,0
H17837,2013,1,0,V,N,O,R,310,1,1900,3,5052,0
H4081,2016,0.99726776,0,N,V,V,U,736,1,1960,   .,5052,0
H12871,2013,1,0,V,N,O,R,2050,1,2007,5,5061,0
H12872,2014,1,0,V,N,O,R,2050,1,2007,5,5061,0
H18579,2013,1,1,V,N,O,R,1262,1,2006,3,5061,0
H2417,2012,1,0,V,V,V,U,470,1,1960,   .,5061,0
H2586,2014,1,0,V,V,V,U,2400,1,1980,   .,5061,0
H2695,2012,1,0,V,N,O,R,6510,1,1988,7,5061,1
H5910,2014,1,0,V,V,V,U,320,1,1960,   .,5061,0
H6242,2012,1,0,V,N,O,R,425,1,1980,3,5061,0
H3500,2012,1,0,V,V,V,U,1500,1,1988,   .,5065,0
H3579,2013,1,0,V,V,V,U,900,1,1988,   .,5077,0
H6838,2012,1,0,N,V,V,U,600,1,1988,   .,5077,0
H13522,2016,0.99726776,0,N,V,V,U,2000,1,1988,   .,5085,0
H13523,2012,1,0,N,V,V,U,1000,1,1988,   .,5085,0
H13524,2013,1,0,N,V,V,U,1000,1,1988,   .,5085,0
H13525,2016,0.99726776,0,N,V,V,U,1000,1,1988,   .,5085,0
H5464,2016,1,0,V,V,V,U,1650,1,1980,   .,5110,0
H5486,2012,1,0,V,V,V,U,850,1,1980,   .,5110,0
H5487,2015,1,0,V,V,V,U,850,1,1980,   .,5110,0
H6145,2016,0.99726776,0,V,V,V,U,2600,1,1988,   .,5110,0
H6146,2013,1,0,N,V,V,U,3500,1,1988,   .,5110,1
H7181,2014,1,0,N,V,V,U,260,1,1988,   .,5110,0
H15714,2015,1,0,V,N,O,R,530,1,1999,4,5133,0
H18066,2013,1,0,V,N,O,R,4700,1,1969,5,5133,1
H14149,2015,1,1,N,V,V,U,838,1,1960,   .,5145,0
H12996,2013,1,0,N,V,V,U,1728,1,1988,   .,5161,0
H2418,2013,1,0,V,V,V,U,1024,1,1960,   .,5168,0
H2507,2015,1,0,V,N,O,R,1440,1,1985,5,5177,0
H2593,2012,1,0,V,V,V,U,300,1,1980,   .,5177,0
H2638,2012,0,0,V,V,V,U,1700,1,1980,   .,5177,0
H2639,2016,0,0,V,V,V,U,1700,1,1980,   .,5177,0
H2640,2015,1,0,V,N,O,R,3688,1,1980,>=10,5177,1
H2641,2013,1,0,V,N,O,R,900,1,1970,5,5177,0
H3254,2013,1,0,V,V,V,U,3000,1,1980,   .,5177,0
H3588,2013,1,0,V,N,O,R,1170,1,1972,5,5177,0
H3728,2016,0.99726776,0,V,N,O,R,2976,1,1965,9,5177,0
H5256,2013,1,0,V,V,V,U,4101,1,1988,   .,5177,0
H15558,2014,1,0,V,N,O,R,800,4,1950,4,6004,0
H18719,2016,0.99726776,0,V,N,O,R,3100,4,1981,6,6004,0
H19593,2016,0.99726776,0,V,N,O,R,320,4,1971,3,6004,0
H19784,2016,0.781420765,0,V,N,O,R,2490,4,1972,6,6004,1
H19813,2016,0.99726776,0,V,N,O,R,1670,4,1975,5,6004,0
H3038,2013,1,0,V,V,V,U,900,4,,   .,6004,0
H3509,2012,1,0,V,N,O,R,460,4,1940,5,6004,0
H4447,2016,0.99726776,0,V,N,O,R,3500,4,1900,4,6004,0
H4555,2014,1,0,N,V,V,U,14,4,1988,   .,6004,0
H5180,2014,0.915068493,0,N,V,V,U,9570,4,,   .,6004,0
H5512,2012,1,0,V,N,O,R,1200,4,1997,4,6004,0
H6126,2013,1,0,N,V,V,U,10,4,1988,   .,6004,0
H6575,2012,1,0,V,N,O,R,570,4,1988,3,6004,0
H6634,2016,0.99726776,0,V,N,O,R,3522,4,2003,4,6004,0
H6164,2013,1,0,V,N,O,R,650,4,1990,4,6007,0
H6165,2015,0.98630137,0,V,N,O,R,650,4,1990,4,6007,0
H1503,2013,1,1,V,N,O,R,4112,4,1965,7,6011,1
H18935,2014,1,0,V,N,O,R,4112,4,1960,5,6011,0
H19802,2016,0.99726776,0,V,N,O,R,1470,4,1970,6,6011,0
H13368,2015,1,0,N,V,V,U,600,4,1960,   .,6012,0
H13369,2016,0.99726776,0,N,V,V,U,600,4,1960,   .,6012,1
H13370,2013,1,1,N,V,V,U,380,4,1960,   .,6012,0
H13715,2013,0.084931507,0,N,V,V,U,460,4,1960,   .,6012,0
H14484,2012,1,0,N,V,V,U,5419,4,1988,   .,6012,1
H14485,2016,1,0,N,V,V,U,5419,4,1988,   .,6012,1
H14550,2012,1,1,V,N,O,R,2800,4,1940,8,6012,1
H14551,2015,1,1,V,N,O,R,2800,4,1940,8,6012,0
H14552,2016,0.99726776,1,V,N,O,R,2800,4,1940,8,6012,0
H15515,2012,1,1,V,N,O,R,450,4,1920,4,6012,0
H15630,2014,1,1,V,N,O,R,1380,4,1960,5,6012,0
H15772,2012,1,0,V,N,O,R,428,4,1930,4,6012,0
H1584,2015,1,1,V,N,O,R,1000,4,1940,6,6012,0
H15935,2012,1,1,V,N,O,R,1100,4,1920,7,6012,0
H16002,2015,0.161643836,1,V,N,O,R,520,4,1973,5,6012,0
H1622,2013,1,1,V,N,O,R,300,4,1920,3,6012,1
H1624,2015,1,1,V,N,O,R,300,4,1920,3,6012,0
H1625,2016,1,1,V,N,O,R,300,4,1920,3,6012,0
H16624,2012,1,1,V,N,O,R,3250,4,1991,8,6012,1
H16715,2013,1,1,V,N,O,R,1000,4,1974,5,6012,0
H16977,2012,1,1,V,N,O,R,660,4,1920,5,6012,1
H17859,2015,1,1,V,N,O,R,300,4,1920,4,6012,0
H18015,2012,1,1,V,N,O,R,550,4,1930,5,6012,0
H18016,2014,1,1,V,N,O,R,550,4,1930,5,6012,1
H19140,2014,1,0,V,N,O,R,1255,4,1920,5,6012,1
H19141,2015,0.997260274,0,V,N,O,R,1255,4,1920,5,6012,0
H19368,2014,1,0,V,N,O,R,5610,4,1920,5,6012,1
H19788,2015,0.095890411,1,V,N,O,R,1800,4,1965,6,6012,0
H19789,2016,0.99726776,1,V,N,O,R,1800,4,1965,6,6012,0
H5129,2013,1,1,V,N,O,R,500,4,1940,4,6012,0
